"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.443935576,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.758092607,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.505938362,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.552559011,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.26217283,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.997135639,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.709823394,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.406960968,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.049785185,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-1.81380781,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.568257776,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.156224263,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",4.956975381,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.611506402,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.408327019,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.430361077,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.186159234,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.846521505,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.535869702,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q3",9,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.088235138,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.069136226,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.45210412,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.094407559,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.87241647,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-11.314573725,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",8.874858409,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.72512256,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.370716167,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.636914747,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.58623185,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.262654605,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.986116769,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",7.403491898,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.41451,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.90548,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.83647,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.86096,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.65894,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-25.2481,
"DEU","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.612222858,
"DEU","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.503593062,
"DEU","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.309311452,
"DEU","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.018690252,
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.897193488,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-9.793281077,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q3",8.480305474,"P"
"ITA","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.169874846,
"ITA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.194237482,
"ITA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.041313487,
"ITA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.323639046,
"ITA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.494567729,
"ITA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-12.993646373,
"ITA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",15.893958978,
"CHN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.9,
"CHN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.3,
"CHN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",1,
"CHN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.6,
"CHN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-10,
"CHN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",11.7,
"CHN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.7,
"FRA","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.524885214,
"FRA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.29541027,
"FRA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.138151726,
"FRA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.178164,
"FRA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.894380657,
"FRA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-13.789130228,
"FRA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",18.667076819,
